country,threshold,area__ha,loss_ha,year,loss_per_100k_ha_normalised
Brunei,30,431532,474,2002,109.8412169
Brunei,30,431532,379,2003,87.82662699
Brunei,30,431532,584,2004,135.3317946
Brunei,30,431532,602,2005,139.5029801
Brunei,30,431532,442,2006,102.4257761
Brunei,30,431532,639,2007,148.0770835
Brunei,30,431532,760,2008,176.116719
Brunei,30,431532,1242,2009,287.8117961
Brunei,30,431532,524,2010,121.4278431
Brunei,30,431532,1661,2011,384.9077241
Brunei,30,431532,1118,2012,259.076963
Brunei,30,431532,608,2013,140.8933752
Brunei,30,431532,1380,2014,319.7908846
Brunei,30,431532,806,2015,186.7764152
Brunei,30,431532,1089,2016,252.3567198
Brunei,30,431532,518,2017,120.037448
Brunei,30,431532,449,2018,104.0479037
Brunei,30,431532,447,2019,103.5844387
Brunei,30,431532,543,2020,125.8307611
Brunei,30,431532,516,2021,119.5739829
Brunei,30,431532,537,2022,124.440366
Brunei,30,431532,496,2023,114.9393324
Cambodia,30,4325701,18579,2002,429.5026402
Cambodia,30,4325701,24060,2003,556.2104269
Cambodia,30,4325701,44084,2004,1019.118057
Cambodia,30,4325701,35978,2005,831.7264647
Cambodia,30,4325701,43268,2006,1000.254063
Cambodia,30,4325701,35528,2007,821.3235265
Cambodia,30,4325701,48730,2008,1126.522614
Cambodia,30,4325701,65249,2009,1508.402916
Cambodia,30,4325701,124807,2010,2885.24334
Cambodia,30,4325701,124153,2011,2870.124403
Cambodia,30,4325701,115198,2012,2663.105934
Cambodia,30,4325701,123205,2013,2848.20888
Cambodia,30,4325701,89479,2014,2068.543341
Cambodia,30,4325701,70684,2015,1634.047291
Cambodia,30,4325701,94024,2016,2173.613017
Cambodia,30,4325701,53817,2017,1244.122051
Cambodia,30,4325701,45519,2018,1052.291871
Cambodia,30,4325701,62898,2019,1454.053343
Cambodia,30,4325701,62305,2020,1440.344582
Cambodia,30,4325701,63979,2021,1479.043512
Cambodia,30,4325701,45382,2022,1049.124755
Cambodia,30,4325701,48257,2023,1115.587971
Indonesia,30,93872195,271744,2002,289.4829507
Indonesia,30,93872195,248435,2003,264.6523819
Indonesia,30,93872195,479153,2004,510.4312305
Indonesia,30,93872195,478404,2005,509.6333371
Indonesia,30,93872195,468380,2006,498.9549887
Indonesia,30,93872195,525991,2007,560.3267293
Indonesia,30,93872195,469405,2008,500.0468989
Indonesia,30,93872195,683825,2009,728.4638438
Indonesia,30,93872195,540975,2010,576.2888574
Indonesia,30,93872195,613905,2011,653.9795943
Indonesia,30,93872195,855533,2012,911.3806277
Indonesia,30,93872195,472991,2013,503.8669864
Indonesia,30,93872195,736796,2014,784.8926937
Indonesia,30,93872195,666636,2015,710.1527774
Indonesia,30,93872195,928658,2016,989.2790938
Indonesia,30,93872195,373254,2017,397.6193377
Indonesia,30,93872195,339888,2018,362.0752663
Indonesia,30,93872195,323646,2019,344.7730183
Indonesia,30,93872195,270056,2020,287.6847612
Indonesia,30,93872195,202905,2021,216.1502669
Indonesia,30,93872195,230002,2022,245.0161094
Indonesia,30,93872195,292373,2023,311.4585741
Laos,30,8360414,13698,2002,163.8435609
Laos,30,8360414,20468,2003,244.820412
Laos,30,8360414,17941,2004,214.5946361
Laos,30,8360414,21598,2005,258.3364891
Laos,30,8360414,33971,2006,406.3315525
Laos,30,8360414,44918,2007,537.2700443
Laos,30,8360414,24924,2008,298.119208
Laos,30,8360414,48412,2009,579.062233
Laos,30,8360414,49977,2010,597.7814017
Laos,30,8360414,43363,2011,518.6704869
Laos,30,8360414,42483,2012,508.1446924
Laos,30,8360414,41314,2013,494.1621312
Laos,30,8360414,46967,2014,561.7784
Laos,30,8360414,58980,2015,705.4674565
Laos,30,8360414,76124,2016,910.5290719
Laos,30,8360414,60679,2017,725.7894166
Laos,30,8360414,54579,2018,652.8265227
Laos,30,8360414,72038,2019,861.6558941
Laos,30,8360414,82234,2020,983.6115771
Laos,30,8360414,80938,2021,968.1099524
Laos,30,8360414,93087,2022,1113.425723
Laos,30,8360414,136532,2023,1633.077022
Malaysia,30,15950084,61830,2002,387.6468613
Malaysia,30,15950084,60417,2003,378.7879738
Malaysia,30,15950084,113430,2004,711.1561293
Malaysia,30,15950084,114500,2005,717.864558
Malaysia,30,15950084,113091,2006,709.0307487
Malaysia,30,15950084,142090,2007,890.8417034
Malaysia,30,15950084,139261,2008,873.1051197
Malaysia,30,15950084,235849,2009,1478.669329
Malaysia,30,15950084,139654,2010,875.5690566
