Country Name,Country Code,Land Area(Sqkm),Year,ForestArea,ForestArea_pct,ForestArea_per_1000sqkm
Brunei Darussalam,BRN,5270.0,1990,4130.0,78.36812144212524,783.6812144212524
Indonesia,IDN,1877519.0,1990,1185450.0,63.13917462353243,631.3917462353244
Cambodia,KHM,176520.0,1990,110047.9,62.34302062089281,623.4302062089281
Laos,LAO,230800.0,1990,178430.0,77.30935875216637,773.0935875216637
Myanmar,MMR,652670.0,1990,392184.8,60.08929474313206,600.8929474313206
Malaysia,MYS,328550.0,1990,206185.0,62.75604930756353,627.5604930756353
Philippines,PHL,298170.0,1990,77788.1,26.08850655666231,260.8850655666231
Singapore,SGP,733.2,1990,148.269,20.2221767594108,202.221767594108
Thailand,THA,510890.0,1990,193610.0,37.896611795102665,378.96611795102666
Vietnam,VNM,313429.0,1990,93759.6,29.91414323499102,299.14143234991025
Brunei Darussalam,BRN,5270.0,1991,4114.0,78.06451612903226,780.6451612903227
Indonesia,IDN,1877519.0,1991,1168185.0,62.2196100279145,622.196100279145
Cambodia,KHM,176520.0,1991,109824.11,62.21624178563335,622.1624178563335
Laos,LAO,230800.0,1991,178012.0,77.12824956672443,771.2824956672443
Myanmar,MMR,652670.0,1991,387834.43,59.4227450319457,594.227450319457
Malaysia,MYS,328550.0,1991,205257.85,62.47385481661848,624.7385481661847
Philippines,PHL,298170.0,1991,77318.55,25.93102927859946,259.3102927859946
Singapore,SGP,733.2,1991,150.456,20.520458265139112,205.20458265139112
Thailand,THA,510890.0,1991,193247.0,37.82555931805281,378.2555931805281
Vietnam,VNM,313429.0,1991,96167.74,30.682463971106692,306.824639711067
Brunei Darussalam,BRN,5270.0,1992,4098.0,77.76091081593928,777.6091081593928
Indonesia,IDN,1877519.0,1992,1150920.0,61.30004543229656,613.0004543229655
Cambodia,KHM,176520.0,1992,109600.32,62.0894629503739,620.894629503739
Laos,LAO,230800.0,1992,177594.0,76.9471403812825,769.471403812825
Myanmar,MMR,652670.0,1992,383484.06,58.75619532075934,587.5619532075934
Malaysia,MYS,328550.0,1992,204330.7,62.19166032567342,621.9166032567341
Philippines,PHL,298170.0,1992,76849.0,25.773552000536608,257.735520005366
Singapore,SGP,733.2,1992,152.642,20.818603382433167,208.18603382433167
Thailand,THA,510890.0,1992,192884.0,37.75450684100296,377.54506841002956
Vietnam,VNM,313429.0,1992,98575.88,31.450784707222372,314.50784707222374
Brunei Darussalam,BRN,5270.0,1993,4082.0,77.4573055028463,774.573055028463
Indonesia,IDN,1877519.0,1993,1133655.0,60.380480836678615,603.8048083667861
Cambodia,KHM,176520.0,1993,109376.53,61.96268411511443,619.6268411511443
Laos,LAO,230800.0,1993,177176.0,76.76603119584055,767.6603119584055
Myanmar,MMR,652670.0,1993,379133.69,58.08964560957298,580.8964560957298
Malaysia,MYS,328550.0,1993,203403.55,61.90946583472835,619.0946583472835
Philippines,PHL,298170.0,1993,76379.45,25.61607472247375,256.1607472247375
Singapore,SGP,733.2,1993,154.829,21.116884888161483,211.16884888161482
Thailand,THA,510890.0,1993,192521.0,37.6834543639531,376.83454363953103
Vietnam,VNM,313429.0,1993,100984.02,32.219105443338044,322.1910544333805
Brunei Darussalam,BRN,5270.0,1994,4066.0,77.15370018975332,771.5370018975333
Indonesia,IDN,1877519.0,1994,1116390.0,59.46091624106068,594.6091624106068
Cambodia,KHM,176520.0,1994,109152.74,61.83590527985498,618.3590527985498
Laos,LAO,230800.0,1994,176758.0,76.58492201039861,765.8492201039861
Myanmar,MMR,652670.0,1994,374783.32,57.423095898386634,574.2309589838663
Malaysia,MYS,328550.0,1994,202476.4,61.627271343783285,616.2727134378329
Philippines,PHL,298170.0,1994,75909.9,25.458597444410902,254.58597444410904
Singapore,SGP,733.2,1994,157.015,21.415030005455534,214.15030005455534
Thailand,THA,510890.0,1994,192158.0,37.61240188690324,376.12401886903245
Vietnam,VNM,313429.0,1994,103392.16,32.98742617945372,329.87426179453723
Brunei Darussalam,BRN,5270.0,1995,4050.0,76.85009487666035,768.5009487666035
Indonesia,IDN,1877519.0,1995,1099125.0,58.54135164544274,585.4135164544274
Cambodia,KHM,176520.0,1995,108928.95,61.709126444595505,617.0912644459551
Laos,LAO,230800.0,1995,176340.0,76.40381282495667,764.0381282495667
Myanmar,MMR,652670.0,1995,370432.95,56.75654618720027,567.5654618720027
Malaysia,MYS,328550.0,1995,201549.25,61.34507685283823,613.4507685283822
Philippines,PHL,298170.0,1995,75440.35,25.301120166348056,253.01120166348056
Singapore,SGP,733.2,1995,159.202,21.71331151118385,217.1331151118385
Thailand,THA,510890.0,1995,191795.0,37.54134940985339,375.41349409853393
Vietnam,VNM,313429.0,1995,105800.3,33.7557469155694,337.557469155694
Brunei Darussalam,BRN,5270.0,1996,4034.0,76.54648956356736,765.4648956356737
Indonesia,IDN,1877519.0,1996,1081860.0,57.62178704982479,576.217870498248
Cambodia,KHM,176520.0,1996,108705.16,61.582347609336054,615.8234760933605
Laos,LAO,230800.0,1996,175922.0,76.22270363951473,762.2270363951473
Myanmar,MMR,652670.0,1996,366082.58,56.089996476013916,560.8999647601391
Malaysia,MYS,328550.0,1996,200622.1,61.062882361893166,610.6288236189316
Philippines,PHL,298170.0,1996,74970.8,25.143642888285207,251.43642888285206
Singapore,SGP,733.2,1996,161.389,22.011593016912165,220.11593016912164
Thailand,THA,510890.0,1996,191432.0,37.470296932803535,374.7029693280354
Vietnam,VNM,313429.0,1996,108208.44,34.52406765168507,345.2406765168507
Brunei Darussalam,BRN,5270.0,1997,4018.0,76.24288425047439,762.4288425047439
Indonesia,IDN,1877519.0,1997,1064595.0,56.702222454206854,567.0222245420686
Cambodia,KHM,176520.0,1997,108481.37,61.45556877407658,614.5556877407658
Laos,LAO,230800.0,1997,175504.0,76.0415944540728,760.4159445407279
Myanmar,MMR,652670.0,1997,361732.21,55.42344676482755,554.2344676482757
Malaysia,MYS,328550.0,1997,199694.95,60.780687870948114,607.8068787094811
Philippines,PHL,298170.0,1997,74501.25,24.986165610222354,249.86165610222355
Singapore,SGP,733.2,1997,163.575,22.309738134206217,223.09738134206216
Thailand,THA,510890.0,1997,191069.0,37.39924445575368,373.9924445575369
Vietnam,VNM,313429.0,1997,110616.58,35.29238838780074,352.9238838780075
Brunei Darussalam,BRN,5270.0,1998,4002.0,75.9392789373814,759.3927893738141
Indonesia,IDN,1877519.0,1998,1047330.0,55.78265785858891,557.8265785858891
Cambodia,KHM,176520.0,1998,108257.58,61.32878993881713,613.2878993881712
Laos,LAO,230800.0,1998,175086.0,75.86048526863085,758.6048526863085
Myanmar,MMR,652670.0,1998,357381.84,54.7568970536412,547.568970536412
Malaysia,MYS,328550.0,1998,198767.8,60.49849338000304,604.9849338000304
Philippines,PHL,298170.0,1998,74031.7,24.828688332159505,248.28688332159504
Singapore,SGP,733.2,1998,165.762,22.608019639934533,226.0801963993453
Thailand,THA,510890.0,1998,190706.0,37.32819197870383,373.2819197870383
Vietnam,VNM,313429.0,1998,113024.72,36.060709123916425,360.6070912391642
Brunei Darussalam,BRN,5270.0,1999,3986.0,75.63567362428843,756.3567362428843
Indonesia,IDN,1877519.0,1999,1030065.0,54.86309326297098,548.6309326297097
Cambodia,KHM,176520.0,1999,108033.79,61.202011103557666,612.0201110355766
Laos,LAO,230800.0,1999,174668.0,75.67937608318891,756.793760831889
Myanmar,MMR,652670.0,1999,353031.47,54.090347342454834,540.9034734245483
Malaysia,MYS,328550.0,1999,197840.65,60.21629888905798,602.1629888905798
Philippines,PHL,298170.0,1999,73562.15,24.671211054096652,246.71211054096653
Singapore,SGP,733.2,1999,167.948,22.906164757228588,229.06164757228586
Thailand,THA,510890.0,1999,190343.0,37.257139501653974,372.5713950165398
Vietnam,VNM,313429.0,1999,115432.86,36.8290298600321,368.290298600321
Brunei Darussalam,BRN,5270.0,2000,3970.0,75.33206831119544,753.3206831119545
Indonesia,IDN,1877519.0,2000,1012800.0,53.943528667353036,539.4352866735303
Cambodia,KHM,176520.0,2000,107810.0,61.07523226829821,610.752322682982
Laos,LAO,230800.0,2000,174250.0,75.49826689774697,754.9826689774696
Myanmar,MMR,652670.0,2000,348681.1,53.42379763126848,534.2379763126849
Malaysia,MYS,328550.0,2000,196913.5,59.93410439811292,599.3410439811291
Philippines,PHL,298170.0,2000,73092.6,24.51373377603381,245.13733776033806
Singapore,SGP,733.2,2000,170.135,23.2044462629569,232.04446262956898
Thailand,THA,510890.0,2000,189980.0,37.18608702460412,371.86087024604126
Vietnam,VNM,313429.0,2000,117841.0,37.59735059614777,375.97350596147777
Brunei Darussalam,BRN,5270.0,2001,3953.0,75.00948766603416,750.0948766603416
Indonesia,IDN,1877519.0,2001,1011179.2,53.85720197771634,538.5720197771633
Cambodia,KHM,176520.0,2001,107618.23,60.966593020620884,609.6659302062088
Laos,LAO,230800.0,2001,173765.5,75.28834488734836,752.8834488734835
Myanmar,MMR,652670.0,2001,345253.99,52.89870685032252,528.9870685032253
Malaysia,MYS,328550.0,2001,196169.8,59.70774615735809,597.0774615735809
Philippines,PHL,298170.0,2001,72623.06,24.356259851762417,243.56259851762417
Singapore,SGP,733.2,2001,170.861,23.30346426623022,233.0346426623022
Thailand,THA,510890.0,2001,191055.0,37.396504139834406,373.96504139834406
Vietnam,VNM,313429.0,2001,119444.96,38.109096477990235,381.0909647799024
Brunei Darussalam,BRN,5270.0,2002,3936.0,74.68690702087287,746.8690702087287
